date,dist,co,no2,o3,so2,ch4,hcho
2018-10-12,q1,0.035222601145505905,9.455537656322122e-05,0.12124712020158768,0,0,0.00046049608499743044
2018-10-13,q1,0,0,0.12067366391420364,0,0,0.00064865592867136
2018-10-14,q1,0,0,0.11865166574716568,0,0,0.00039973569801077247
2018-10-15,q1,0,0,0.11640211194753647,0,0,0.0002862164983525872
2018-10-16,q1,0.03493522107601166,7.128558354452252e-05,0.1157207265496254,0.0001066802506102249,0,0
2018-10-17,q1,0.0499618761241436,0.00015713994798716158,0.12057124078273773,0,0,0.0005445167771540582
2018-10-18,q1,0,0,0.11759646981954575,0,0,0.0003720830427482724
2018-10-19,q1,0,0,0.11499372869729996,0,0,0
2018-10-20,q1,0,0,0.11580724269151688,0,0,0.0002844554546754807
2018-10-21,q1,0,0,0.11430435627698898,0.0001985354901989922,0,6.503800977952778e-05
2018-10-22,q1,0,0,0.11715169996023178,0,0,0
2018-10-23,q1,0.03345861658453941,6.886164919706061e-05,0.12192130833864212,0.0005592411034740508,0,0.00016453380521852523
2018-10-24,q1,0,0,0.12133371829986572,0,0,0
2018-10-25,q1,0.030054090544581413,0,0.11603012681007385,0,0,0
2018-10-26,q1,0,0,0.11627040058374405,0.00036342404200695455,0,0.00015203123621176928
2018-10-27,q1,0.0366213321685791,8.767664257902652e-05,0.11869689077138901,4.256280590198003e-05,0,0.00019070945563726127
2018-10-28,q1,0,8.222187170758843e-05,0.11882098019123077,0.000228179240366444,0,0.0002795558248180896
2018-10-29,q1,0,0,0.11962618678808212,0,0,0.000305163353914395
2018-10-30,q1,0.04170888289809227,0.00010451437992742285,0.11790575832128525,5.322684955899604e-05,0,0.00028650337480939925
2018-10-31,q1,0.03607150912284851,9.871763177216053e-05,0.11528195440769196,0.0003124156501144171,0,0.00029206532053649426
2018-11-01,q1,0.03958399221301079,5.7559671404305845e-05,0.1184670627117157,0.00020677999418694526,0,4.828785313293338e-05
2018-11-02,q1,0,0,0.11910319328308105,0,0,0
2018-11-03,q1,0,0,0.11754503101110458,0,0,0
2018-11-04,q1,0.04437939450144768,7.56213121348992e-05,0.11386670917272568,0,0,0.00027464894810691476
2018-11-05,q1,0,0,0.11282053589820862,0,0,0
2018-11-06,q1,0,0,0.11558540165424347,0,0,0.000366775318980217
2018-11-07,q1,0,0,0.1148269772529602,0,0,0
2018-11-08,q1,0,0,0.11059851199388504,0,0,0
2018-11-09,q1,0.02928849868476391,3.4620938095031306e-05,0.1105329617857933,0,0,8.382743544643745e-05
2018-11-10,q1,0.028644895181059837,0,0.11252022534608841,0,0,0.00010681126150302589
2018-11-11,q1,0,4.562556205200963e-05,0.11394593864679337,0,0,0.00012753768533002585
2018-11-12,q1,0,0,0.11493650078773499,0,0,0.00021847740572411567
2018-11-13,q1,0.034683890640735626,0,0.11403791606426239,7.732019730610773e-05,0,0.00023433448222931474
2018-11-14,q1,0.040445346385240555,7.494726742152125e-05,0.11286386102437973,0.0005918287206441164,0,0.000252345489570871
2018-11-15,q1,0,0,0.1100909486413002,0,0,0
2018-11-16,q1,0,0,0.11010359972715378,0,0,0
2018-11-17,q1,0,0,0.11162194609642029,0,0,0
2018-11-18,q1,0,0,0.11151660978794098,0,0,0
2018-11-19,q1,0,0,0.11110170185565948,0,0,0
2018-11-20,q1,0.031707100570201874,0,0.11377852410078049,0.00029224393074400723,0,1.1367418665031437e-05
2018-11-21,q1,0.03215651959180832,0,0.11350323259830475,2.5030929464264773e-05,0,5.354070890462026e-05
2018-11-22,q1,0,0.00011856015771627426,0.11245197802782059,0,0,0.00040638537029735744
2018-11-23,q1,0,0,0.11209362745285034,0,0,0
2018-11-24,q1,0,0,0.1088128462433815,0,0,0
2018-11-25,q1,0,0,0.11082466691732407,0,0,0
2018-11-26,q1,0,0,0.10812147706747055,0,0,0
